frame,t_rel,t_abs,mar,delta_mar,mar_bp,nose_lip_dist,delta_nose_lip_dist,chin_lip_dist,delta_chin_lip_dist,valid
118,3.933475,,0.024836,-0.009706,-0.002740,117.076958,0.690292,141.214539,-2.771042,1
119,3.966810,,0.019577,-0.005259,-0.014003,115.301430,-1.775528,145.062897,3.848358,1
120,4.000144,,0.013998,-0.005579,-0.021885,109.459610,-5.841820,145.095627,0.032730,1
121,4.033479,,0.009532,-0.004466,-0.026155,106.369423,-3.090187,141.820877,-3.274750,1
122,4.066813,,0.006073,-0.003459,-0.027503,104.265892,-2.103531,142.786209,0.965332,1
123,4.100148,,0.004678,-0.001395,-0.026867,103.254669,-1.011223,144.014023,1.227814,1
124,4.133482,,0.016557,0.011879,-0.025140,102.734352,-0.520317,144.922958,0.908936,1
125,4.166817,,0.019988,0.003430,-0.022884,103.362991,0.628639,144.668533,-0.254425,1
126,4.200151,,0.023007,0.003019,-0.020062,101.128143,-2.234848,144.704346,0.035812,1
127,4.233486,,0.025026,0.002019,-0.016115,102.586868,1.458725,144.027939,-0.676407,1
128,4.266820,,0.032408,0.007382,-0.010367,101.506714,-1.080154,142.503082,-1.524857,1
129,4.300155,,0.036215,0.003807,-0.002390,99.024689,-2.482025,143.628448,1.125366,1
130,4.333489,,0.038657,0.002442,0.007610,97.351448,-1.673241,144.697784,1.069336,1
131,4.366824,,0.029360,-0.009297,0.018412,96.911598,-0.439850,142.063660,-2.634125,1
132,4.400159,,0.074077,0.044717,0.028145,106.945702,10.034103,139.590759,-2.472900,1
133,4.433493,,0.104492,0.030415,0.034548,115.693100,8.747398,144.742645,5.151886,1
134,4.466828,,0.086788,-0.017704,0.036003,116.999878,1.306778,141.949554,-2.793091,1
135,4.500162,,0.069179,-0.017609,0.031857,116.353340,-0.646538,144.365997,2.416443,1
136,4.533497,,0.063700,-0.005479,0.022603,114.176323,-2.177017,145.118881,0.752884,1
137,4.566831,,0.038884,-0.024816,0.010106,111.929306,-2.247017,144.953552,-0.165329,1
138,4.600166,,0.026284,-0.012600,-0.003397,112.943939,1.014633,147.472092,2.518539,1
139,4.633500,,0.014747,-0.011537,-0.015637,113.058395,0.114456,147.160217,-0.311874,1
140,4.666835,,0.020396,0.005650,-0.025000,109.842148,-3.216248,146.594986,-0.565231,1
141,4.700169,,0.010508,-0.009889,-0.030694,106.835861,-3.006287,140.130508,-6.464478,1
142,4.733504,,0.005557,-0.004951,-0.032647,103.411850,-3.424011,143.491119,3.360611,1
143,4.766838,,0.000679,-0.004877,-0.031625,102.537567,-0.874283,144.597427,1.106308,1
144,4.800173,,0.001463,0.000784,-0.028583,103.033005,0.495438,145.224106,0.626678,1
145,4.833507,,0.007666,0.006203,-0.024477,101.793434,-1.239571,146.030960,0.806854,1
146,4.866842,,0.010949,0.003283,-0.020059,102.012634,0.219200,144.828888,-1.202072,1
147,4.900177,,0.020445,0.009496,-0.015631,102.483818,0.471184,144.868637,0.039749,1
148,4.933511,,0.026861,0.006416,-0.011091,102.794006,0.310188,143.897812,-0.970825,1
149,4.966846,,0.030386,0.003525,-0.006094,100.008186,-2.785820,143.625809,-0.272003,1
150,5.000180,,0.025399,-0.004987,-0.000331,97.871071,-2.137115,142.773987,-0.851822,1
151,5.033515,,0.013486,-0.011913,0.006186,95.286453,-2.584618,142.379608,-0.394379,1
