frame,timestamp,anchor_to_bottom_lip_bottom,thresh_1,thresh_2,thresh_3,thresh_4,thresh_5
174,5.8003780964797915,71.13771836460333,Open,Open,Closed,Closed,Closed
175,5.833713602781399,68.72245199102713,Open,Open,Closed,Closed,Closed
176,5.867049109083007,66.7111596904586,Open,Closed,Closed,Closed,Closed
177,5.900384615384615,64.01765725020749,Open,Closed,Closed,Closed,Closed
178,5.933720121686223,62.34394970791905,Open,Closed,Closed,Closed,Closed
179,5.967055627987831,64.68134030970901,Open,Closed,Closed,Closed,Closed
180,6.000391134289439,67.42539428453577,Open,Open,Closed,Closed,Closed
181,6.0337266405910475,58.84061541961103,Open,Closed,Closed,Closed,Closed
182,6.067062146892655,65.8733555735322,Open,Closed,Closed,Closed,Closed
183,6.100397653194263,67.62279561561576,Open,Open,Closed,Closed,Closed
184,6.133733159495871,67.14232205921226,Open,Open,Closed,Closed,Closed
185,6.167068665797479,63.94654261371714,Open,Closed,Closed,Closed,Closed
186,6.200404172099087,58.84967052456963,Open,Closed,Closed,Closed,Closed
187,6.2337396784006955,66.53711056635447,Open,Closed,Closed,Closed,Closed
188,6.267075184702303,68.16744514404195,Open,Open,Closed,Closed,Closed
189,6.300410691003911,69.54865993409686,Open,Open,Closed,Closed,Closed
190,6.333746197305519,75.24097275456894,Open,Open,Closed,Closed,Closed
191,6.367081703607127,70.55007938840967,Open,Open,Closed,Closed,Closed
192,6.400417209908735,78.16229708086493,Open,Open,Open,Closed,Closed
193,6.433752716210343,75.82071410856224,Open,Open,Closed,Closed,Closed
194,6.4670882225119515,72.76804725508997,Open,Open,Closed,Closed,Closed
195,6.500423728813559,71.56532961008851,Open,Open,Closed,Closed,Closed
196,6.533759235115167,68.44378770143862,Open,Open,Closed,Closed,Closed
197,6.567094741416775,66.21223058266457,Open,Closed,Closed,Closed,Closed
198,6.600430247718383,58.78072585543359,Open,Closed,Closed,Closed,Closed
199,6.633765754019991,61.60962186876074,Open,Closed,Closed,Closed,Closed
200,6.667101260321599,62.94418783126976,Open,Closed,Closed,Closed,Closed
201,6.700436766623207,63.260681903094294,Open,Closed,Closed,Closed,Closed
202,6.733772272924815,63.681470110024186,Open,Closed,Closed,Closed,Closed
203,6.767107779226423,63.564212384367586,Open,Closed,Closed,Closed,Closed
204,6.800443285528031,61.525969650711,Open,Closed,Closed,Closed,Closed
205,6.833778791829639,66.84780184555487,Open,Closed,Closed,Closed,Closed
206,6.867114298131247,70.62439023186835,Open,Open,Closed,Closed,Closed
207,6.900449804432855,72.61831222111954,Open,Open,Closed,Closed,Closed
208,6.933785310734463,72.25098047116958,Open,Open,Closed,Closed,Closed
209,6.967120817036071,77.30981718834222,Open,Open,Open,Closed,Closed
210,7.000456323337679,74.60698137868292,Open,Open,Closed,Closed,Closed
211,7.033791829639287,77.19365331236949,Open,Open,Open,Closed,Closed
212,7.067127335940895,69.56528780205579,Open,Open,Closed,Closed,Closed
213,7.100462842242503,68.23960537759632,Open,Open,Closed,Closed,Closed
214,7.1337983485441105,60.781579364587024,Open,Closed,Closed,Closed,Closed
215,7.167133854845719,59.52558034173951,Open,Closed,Closed,Closed,Closed
216,7.200469361147327,63.05803337140412,Open,Closed,Closed,Closed,Closed
217,7.233804867448935,62.9199372128797,Open,Closed,Closed,Closed,Closed
218,7.267140373750543,62.3176256377439,Open,Closed,Closed,Closed,Closed
219,7.300475880052151,64.69150824277897,Open,Closed,Closed,Closed,Closed
220,7.333811386353759,58.94974327298668,Open,Closed,Closed,Closed,Closed
221,7.367146892655367,60.747430217966766,Open,Closed,Closed,Closed,Closed
222,7.400482398956975,58.30951894845301,Open,Closed,Closed,Closed,Closed
223,7.433817905258583,57.03323867618302,Closed,Closed,Closed,Closed,Closed
224,7.467153411560191,62.29327888797228,Open,Closed,Closed,Closed,Closed
225,7.500488917861799,69.16040400621198,Open,Open,Closed,Closed,Closed
226,7.533824424163407,70.20489482600517,Open,Open,Closed,Closed,Closed
227,7.567159930465015,76.94455359816979,Open,Open,Open,Closed,Closed
228,7.600495436766623,73.85691349290232,Open,Open,Closed,Closed,Closed
229,7.633830943068231,76.94155382487466,Open,Open,Open,Closed,Closed
230,7.667166449369839,76.59550214438616,Open,Open,Open,Closed,Closed
231,7.700501955671447,74.03550892203629,Open,Open,Closed,Closed,Closed
232,7.733837461973055,74.26559020243454,Open,Open,Closed,Closed,Closed
233,7.767172968274663,72.47132366803004,Open,Open,Closed,Closed,Closed
234,7.8005084745762705,72.24825412842065,Open,Open,Closed,Closed,Closed
235,7.833843980877879,66.4700361982333,Open,Closed,Closed,Closed,Closed
236,7.867179487179487,66.54628015007492,Open,Closed,Closed,Closed,Closed
237,7.900514993481095,65.46720478403088,Open,Closed,Closed,Closed,Closed
238,7.933850499782703,64.88861889992728,Open,Closed,Closed,Closed,Closed
239,7.967186006084311,61.83267204819373,Open,Closed,Closed,Closed,Closed
240,8.00052151238592,65.03061265613877,Open,Closed,Closed,Closed,Closed
241,8.033857018687527,65.26198956572934,Open,Closed,Closed,Closed,Closed
242,8.067192524989135,65.8404198741361,Open,Closed,Closed,Closed,Closed
243,8.100528031290743,65.37552492896575,Open,Closed,Closed,Closed,Closed
244,8.133863537592351,66.45959148545455,Open,Closed,Closed,Closed,Closed
245,8.167199043893959,65.41852256652425,Open,Closed,Closed,Closed,Closed
246,8.200534550195567,68.907441405257,Open,Open,Closed,Closed,Closed
247,8.233870056497175,72.3209706929603,Open,Open,Closed,Closed,Closed
248,8.267205562798782,73.17174195760397,Open,Open,Closed,Closed,Closed
249,8.30054106910039,78.24918607530483,Open,Open,Open,Closed,Closed
250,8.333876575401998,76.71039930714531,Open,Open,Open,Closed,Closed
251,8.367212081703606,79.92559935387195,Open,Open,Open,Closed,Closed
252,8.400547588005216,78.74172992985469,Open,Open,Open,Closed,Closed
253,8.433883094306823,76.19782426936305,Open,Open,Open,Closed,Closed
254,8.467218600608431,71.44868418830089,Open,Open,Closed,Closed,Closed
255,8.50055410691004,72.25302795402311,Open,Open,Closed,Closed,Closed
256,8.533889613211647,72.47111468095231,Open,Open,Closed,Closed,Closed
257,8.567225119513255,67.16608238709223,Open,Open,Closed,Closed,Closed
258,8.600560625814863,69.17811101901725,Open,Open,Closed,Closed,Closed
259,8.63389613211647,67.58344159887747,Open,Open,Closed,Closed,Closed
260,8.667231638418079,66.78688040657696,Open,Closed,Closed,Closed,Closed
261,8.700567144719686,66.02114078356352,Open,Closed,Closed,Closed,Closed
262,8.733902651021294,61.060254219764154,Open,Closed,Closed,Closed,Closed
263,8.767238157322902,60.5391169877215,Open,Closed,Closed,Closed,Closed
264,8.80057366362451,60.29057427442941,Open,Closed,Closed,Closed,Closed
265,8.833909169926118,63.21511950137164,Open,Closed,Closed,Closed,Closed
266,8.867244676227727,63.353653536347935,Open,Closed,Closed,Closed,Closed
267,8.900580182529335,66.45658969805714,Open,Closed,Closed,Closed,Closed
268,8.933915688830943,72.96334183539767,Open,Open,Closed,Closed,Closed
269,8.967251195132551,74.78425589319811,Open,Open,Closed,Closed,Closed
270,9.000586701434159,76.02764147043447,Open,Open,Closed,Closed,Closed
271,9.033922207735769,78.41113620743317,Open,Open,Open,Closed,Closed
272,9.067257714037376,73.44090495682421,Open,Open,Closed,Closed,Closed
273,9.100593220338984,78.53236519389702,Open,Open,Open,Closed,Closed
274,9.13392872664059,74.26559020243454,Open,Open,Closed,Closed,Closed
275,9.167264232942198,70.91302451835935,Open,Open,Closed,Closed,Closed
276,9.200599739243806,64.18973019599238,Open,Closed,Closed,Closed,Closed
277,9.233935245545414,72.49846689975612,Open,Open,Closed,Closed,Closed
278,9.267270751847022,70.57855079052405,Open,Open,Closed,Closed,Closed
279,9.300606258148632,66.31546820362918,Open,Closed,Closed,Closed,Closed
280,9.33394176445024,67.703026524936,Open,Open,Closed,Closed,Closed
281,9.367277270751847,65.30149065520041,Open,Closed,Closed,Closed,Closed
282,9.400612777053457,66.04922814683782,Open,Closed,Closed,Closed,Closed
283,9.433948283355065,68.09627387158613,Open,Open,Closed,Closed,Closed
284,9.46728378965667,64.00336312013741,Open,Closed,Closed,Closed,Closed
285,9.50061929595828,63.174006777413936,Open,Closed,Closed,Closed,Closed
286,9.533954802259888,65.51240268932261,Open,Closed,Closed,Closed,Closed
287,9.567290308561494,62.91161725079233,Open,Closed,Closed,Closed,Closed
288,9.600625814863102,65.0511902127914,Open,Closed,Closed,Closed,Closed
289,9.63396132116471,70.78513026754788,Open,Open,Closed,Closed,Closed
290,9.667296827466318,74.76597645633171,Open,Open,Closed,Closed,Closed
291,9.700632333767926,78.62208615534897,Open,Open,Open,Closed,Closed
292,9.733967840069534,81.25447526622551,Open,Open,Open,Closed,Closed
293,9.767303346371143,76.94198479503518,Open,Open,Open,Closed,Closed
294,9.800638852672751,76.03829799235268,Open,Open,Closed,Closed,Closed
295,9.83397435897436,75.80802807331295,Open,Open,Closed,Closed,Closed
296,9.867309865275969,72.2377021805394,Open,Open,Closed,Closed,Closed
297,9.900645371577577,72.92064569103486,Open,Open,Closed,Closed,Closed
298,9.933980877879184,72.94596460821276,Open,Open,Closed,Closed,Closed
299,9.96731638418079,69.00528509765081,Open,Open,Closed,Closed,Closed
300,10.000651890482398,68.33652203975963,Open,Open,Closed,Closed,Closed
301,10.033987396784006,68.55398277232611,Open,Open,Closed,Closed,Closed
302,10.067322903085614,70.76456072816697,Open,Open,Closed,Closed,Closed
303,10.100658409387222,64.38934276701272,Open,Closed,Closed,Closed,Closed
304,10.13399391568883,64.69717531419835,Open,Closed,Closed,Closed,Closed
305,10.167329421990438,58.68749617588534,Open,Closed,Closed,Closed,Closed
306,10.200664928292047,59.1037978085221,Open,Closed,Closed,Closed,Closed
307,10.234000434593655,56.15880228159771,Closed,Closed,Closed,Closed,Closed
308,10.267335940895263,61.1639606672125,Open,Closed,Closed,Closed,Closed
