frame,timestamp,anchor_to_bottom_lip_top,thresh_1,thresh_2,thresh_3,thresh_4,thresh_5
247,8.233870056497175,65.0036762718386,Open,Open,Open,Closed,Closed
248,8.267205562798782,67.02258318550798,Open,Open,Open,Closed,Closed
249,8.30054106910039,69.70636641257272,Open,Open,Open,Open,Closed
250,8.333876575401998,68.40052039088215,Open,Open,Open,Open,Closed
251,8.367212081703606,71.52465569884072,Open,Open,Open,Open,Closed
252,8.400547588005216,70.99402363921466,Open,Open,Open,Open,Closed
253,8.433883094306823,67.29218721379942,Open,Open,Open,Closed,Closed
254,8.467218600608431,64.82284186162899,Open,Open,Open,Closed,Closed
255,8.50055410691004,65.41771546926029,Open,Open,Open,Closed,Closed
256,8.533889613211647,65.27710805395665,Open,Open,Open,Closed,Closed
257,8.567225119513255,59.3655375367924,Open,Open,Closed,Closed,Closed
258,8.600560625814863,61.573950858324096,Open,Open,Closed,Closed,Closed
259,8.63389613211647,60.7359172215162,Open,Open,Closed,Closed,Closed
260,8.667231638418079,60.05551275463989,Open,Open,Closed,Closed,Closed
261,8.700567144719686,57.158056434283864,Open,Open,Closed,Closed,Closed
262,8.733902651021294,53.32561832100121,Open,Closed,Closed,Closed,Closed
263,8.767238157322902,53.10869190032803,Open,Closed,Closed,Closed,Closed
264,8.80057366362451,53.45489959666707,Open,Closed,Closed,Closed,Closed
265,8.833909169926118,55.8710791088799,Open,Closed,Closed,Closed,Closed
266,8.867244676227727,57.69844330724778,Open,Open,Closed,Closed,Closed
267,8.900580182529335,61.08791929854849,Open,Open,Closed,Closed,Closed
268,8.933915688830943,67.80086207809182,Open,Open,Open,Closed,Closed
269,8.967251195132551,69.76285507024649,Open,Open,Open,Open,Closed
270,9.000586701434159,69.2629233622622,Open,Open,Open,Open,Closed
271,9.033922207735769,68.3980014009106,Open,Open,Open,Open,Closed
272,9.067257714037376,65.36949098197063,Open,Open,Open,Closed,Closed
273,9.100593220338984,71.53131863297577,Open,Open,Open,Open,Closed
274,9.13392872664059,67.78038309272158,Open,Open,Open,Closed,Closed
275,9.167264232942198,65.22585057709603,Open,Open,Open,Closed,Closed
276,9.200599739243806,59.5775528724004,Open,Open,Closed,Closed,Closed
277,9.233935245545414,67.0913623723441,Open,Open,Open,Closed,Closed
278,9.267270751847022,66.72590678012396,Open,Open,Open,Closed,Closed
279,9.300606258148632,64.34102869689758,Open,Open,Open,Closed,Closed
280,9.33394176445024,63.798112624800325,Open,Open,Open,Closed,Closed
281,9.367277270751847,63.67999952099964,Open,Open,Open,Closed,Closed
282,9.400612777053457,61.745450325934144,Open,Open,Closed,Closed,Closed
283,9.433948283355065,61.677475663341944,Open,Open,Closed,Closed,Closed
284,9.46728378965667,58.059966164897816,Open,Open,Closed,Closed,Closed
285,9.50061929595828,55.7471647423163,Open,Closed,Closed,Closed,Closed
286,9.533954802259888,57.82985436829388,Open,Open,Closed,Closed,Closed
287,9.567290308561494,57.46040168495581,Open,Open,Closed,Closed,Closed
288,9.600625814863102,60.60216262407474,Open,Open,Closed,Closed,Closed
289,9.63396132116471,65.95796482980256,Open,Open,Open,Closed,Closed
290,9.667296827466318,67.95518707060631,Open,Open,Open,Closed,Closed
291,9.700632333767926,72.11793719982293,Open,Open,Open,Open,Closed
292,9.733967840069534,73.22372761252063,Open,Open,Open,Open,Closed
293,9.767303346371143,70.05705579545057,Open,Open,Open,Open,Closed
294,9.800638852672751,69.81519810323691,Open,Open,Open,Open,Closed
295,9.83397435897436,68.70882855168918,Open,Open,Open,Open,Closed
296,9.867309865275969,65.6790196178184,Open,Open,Open,Closed,Closed
297,9.900645371577577,67.12052983338153,Open,Open,Open,Closed,Closed
298,9.933980877879184,66.9453764947526,Open,Open,Open,Closed,Closed
299,9.96731638418079,63.71455604773041,Open,Open,Open,Closed,Closed
300,10.000651890482398,63.19005306147821,Open,Open,Open,Closed,Closed
301,10.033987396784006,65.3609473923966,Open,Open,Open,Closed,Closed
302,10.067322903085614,63.12779671585712,Open,Open,Open,Closed,Closed
303,10.100658409387222,57.3289034011631,Open,Open,Closed,Closed,Closed
304,10.13399391568883,56.52072269684993,Open,Closed,Closed,Closed,Closed
305,10.167329421990438,52.69512215107086,Open,Closed,Closed,Closed,Closed
306,10.200664928292047,51.89435686763412,Open,Closed,Closed,Closed,Closed
307,10.234000434593655,52.74733660120653,Open,Closed,Closed,Closed,Closed
308,10.267335940895263,56.93931644037051,Open,Closed,Closed,Closed,Closed
309,10.300671447196873,62.0399714198982,Open,Open,Closed,Closed,Closed
310,10.33400695349848,65.4925884417975,Open,Open,Open,Closed,Closed
311,10.367342459800089,71.52421327747297,Open,Open,Open,Open,Closed
312,10.400677966101696,71.39087296526012,Open,Open,Open,Open,Closed
313,10.434013472403302,71.319206502675,Open,Open,Open,Open,Closed
314,10.46734897870491,71.96851530065652,Open,Open,Open,Open,Closed
315,10.500684485006518,71.25111723513834,Open,Open,Open,Open,Closed
316,10.534019991308126,68.73978939423085,Open,Open,Open,Open,Closed
317,10.567355497609734,67.68665077777604,Open,Open,Open,Closed,Closed
318,10.600691003911342,70.67110050643682,Open,Open,Open,Open,Closed
319,10.63402651021295,67.23418786683177,Open,Open,Open,Closed,Closed
320,10.66736201651456,66.77688110793963,Open,Open,Open,Closed,Closed
321,10.700697522816167,67.20600783849063,Open,Open,Open,Closed,Closed
322,10.734033029117777,65.19574887531851,Open,Open,Open,Closed,Closed
323,10.767368535419385,61.252446300636024,Open,Open,Closed,Closed,Closed
324,10.80070404172099,61.20514576131119,Open,Open,Closed,Closed,Closed
325,10.8340395480226,64.79032373200077,Open,Open,Open,Closed,Closed
326,10.867375054324206,58.34226094278895,Open,Open,Closed,Closed,Closed
327,10.900710560625814,61.71266860657849,Open,Open,Closed,Closed,Closed
328,10.934046066927422,59.80345198064067,Open,Open,Closed,Closed,Closed
329,10.96738157322903,56.24234552227863,Open,Closed,Closed,Closed,Closed
330,11.000717079530638,55.48706608127149,Open,Closed,Closed,Closed,Closed
331,11.034052585832246,63.05678581003796,Open,Open,Open,Closed,Closed
332,11.067388092133854,64.18192337192072,Open,Open,Open,Closed,Closed
333,11.100723598435462,68.41190118042041,Open,Open,Open,Open,Closed
334,11.134059104737071,69.31629545865262,Open,Open,Open,Open,Closed
335,11.16739461103868,71.54869193699929,Open,Open,Open,Open,Closed
336,11.200730117340289,70.40674198389897,Open,Open,Open,Open,Closed
337,11.234065623641897,68.88016066076737,Open,Open,Open,Open,Closed
338,11.267401129943504,67.98742771332192,Open,Open,Open,Closed,Closed
339,11.30073663624511,64.42950747611374,Open,Open,Open,Closed,Closed
340,11.334072142546718,63.43622764147288,Open,Open,Open,Closed,Closed
