frame,timestamp,anchor_to_top_lip_bottom,thresh_1,thresh_2,thresh_3,thresh_4,thresh_5
155,5.167003476749239,67.27116841916303,Open,Open,Open,Closed,Closed
156,5.200338983050847,64.17887469846947,Open,Open,Closed,Closed,Closed
157,5.233674489352455,63.500535952939735,Open,Open,Closed,Closed,Closed
158,5.267009995654063,55.81980081279288,Closed,Closed,Closed,Closed,Closed
159,5.300345501955671,62.10241802541174,Open,Open,Closed,Closed,Closed
160,5.33368100825728,58.24353712831295,Open,Closed,Closed,Closed,Closed
161,5.3670165145588875,57.585689823913526,Open,Closed,Closed,Closed,Closed
162,5.400352020860495,57.412508400094,Open,Closed,Closed,Closed,Closed
163,5.433687527162103,57.78049716414141,Open,Closed,Closed,Closed,Closed
164,5.467023033463711,54.632603552850554,Closed,Closed,Closed,Closed,Closed
165,5.500358539765319,58.58578344859764,Open,Closed,Closed,Closed,Closed
166,5.533694046066927,57.51888371138587,Open,Closed,Closed,Closed,Closed
167,5.567029552368536,55.12614719600484,Closed,Closed,Closed,Closed,Closed
168,5.6003650586701434,57.19726863137543,Closed,Closed,Closed,Closed,Closed
169,5.633700564971751,59.68530928281618,Open,Closed,Closed,Closed,Closed
170,5.667036071273359,65.47812404188878,Open,Open,Closed,Closed,Closed
171,5.700371577574967,64.78714798403789,Open,Open,Closed,Closed,Closed
172,5.733707083876575,63.992175097803205,Open,Open,Closed,Closed,Closed
173,5.767042590178183,64.1349696484,Open,Open,Closed,Closed,Closed
174,5.8003780964797915,66.60562427073984,Open,Open,Open,Closed,Closed
175,5.833713602781399,65.20249354198512,Open,Open,Closed,Closed,Closed
176,5.867049109083007,64.9342244145458,Open,Open,Closed,Closed,Closed
177,5.900384615384615,61.09601351443698,Open,Closed,Closed,Closed,Closed
178,5.933720121686223,61.02926466542233,Open,Closed,Closed,Closed,Closed
179,5.967055627987831,64.52204994278267,Open,Open,Closed,Closed,Closed
180,6.000391134289439,68.62324256658414,Open,Open,Open,Closed,Closed
181,6.0337266405910475,54.84479389127511,Closed,Closed,Closed,Closed,Closed
182,6.067062146892655,58.62090385253275,Open,Closed,Closed,Closed,Closed
183,6.100397653194263,59.271398234459326,Open,Closed,Closed,Closed,Closed
184,6.133733159495871,61.98386886924694,Open,Open,Closed,Closed,Closed
185,6.167068665797479,58.867939015287334,Open,Closed,Closed,Closed,Closed
186,6.200404172099087,55.70932854490242,Closed,Closed,Closed,Closed,Closed
187,6.2337396784006955,62.70992026436488,Open,Open,Closed,Closed,Closed
188,6.267075184702303,62.17493758402245,Open,Open,Closed,Closed,Closed
189,6.300410691003911,62.8361872241708,Open,Open,Closed,Closed,Closed
190,6.333746197305519,65.38032042523797,Open,Open,Closed,Closed,Closed
191,6.367081703607127,63.16973873281365,Open,Open,Closed,Closed,Closed
192,6.400417209908735,69.84336950170326,Open,Open,Open,Closed,Closed
193,6.433752716210343,68.91040825237091,Open,Open,Open,Closed,Closed
194,6.4670882225119515,66.24186194366324,Open,Open,Open,Closed,Closed
195,6.500423728813559,64.73417558882632,Open,Open,Closed,Closed,Closed
196,6.533759235115167,64.90059863009002,Open,Open,Closed,Closed,Closed
197,6.567094741416775,62.358302840132225,Open,Open,Closed,Closed,Closed
198,6.600430247718383,57.52709160259596,Open,Closed,Closed,Closed,Closed
199,6.633765754019991,61.53482786721784,Open,Closed,Closed,Closed,Closed
200,6.667101260321599,59.331293431830304,Open,Closed,Closed,Closed,Closed
201,6.700436766623207,59.83009685455747,Open,Closed,Closed,Closed,Closed
202,6.733772272924815,59.989249192211176,Open,Closed,Closed,Closed,Closed
203,6.767107779226423,60.541125144455634,Open,Closed,Closed,Closed,Closed
204,6.800443285528031,56.767093115404336,Closed,Closed,Closed,Closed,Closed
205,6.833778791829639,59.11510016713645,Open,Closed,Closed,Closed,Closed
206,6.867114298131247,63.119542529701874,Open,Open,Closed,Closed,Closed
207,6.900449804432855,65.213995805821,Open,Open,Closed,Closed,Closed
208,6.933785310734463,64.21920255540351,Open,Open,Closed,Closed,Closed
209,6.967120817036071,69.54488566835155,Open,Open,Open,Closed,Closed
210,7.000456323337679,66.35692349381364,Open,Open,Open,Closed,Closed
211,7.033791829639287,68.02170345638112,Open,Open,Open,Closed,Closed
212,7.067127335940895,64.74065880885888,Open,Open,Closed,Closed,Closed
213,7.100462842242503,62.54165709843953,Open,Open,Closed,Closed,Closed
214,7.1337983485441105,57.48396215965786,Open,Closed,Closed,Closed,Closed
215,7.167133854845719,55.56072447465437,Closed,Closed,Closed,Closed,Closed
216,7.200469361147327,62.497031838855406,Open,Open,Closed,Closed,Closed
217,7.233804867448935,61.16778191994981,Open,Closed,Closed,Closed,Closed
218,7.267140373750543,53.896212368172584,Closed,Closed,Closed,Closed,Closed
219,7.300475880052151,59.78851193100152,Open,Closed,Closed,Closed,Closed
220,7.333811386353759,57.18543997715861,Closed,Closed,Closed,Closed,Closed
221,7.367146892655367,58.816412381499376,Open,Closed,Closed,Closed,Closed
222,7.400482398956975,55.95382949608154,Closed,Closed,Closed,Closed,Closed
223,7.433817905258583,58.58929052640016,Open,Closed,Closed,Closed,Closed
224,7.467153411560191,59.18904499554648,Open,Closed,Closed,Closed,Closed
225,7.500488917861799,61.226458684064056,Open,Closed,Closed,Closed,Closed
226,7.533824424163407,65.0428109321338,Open,Open,Closed,Closed,Closed
227,7.567159930465015,70.91338840697122,Open,Open,Open,Open,Closed
228,7.600495436766623,67.73067529945212,Open,Open,Open,Closed,Closed
229,7.633830943068231,69.32936560666495,Open,Open,Open,Closed,Closed
230,7.667166449369839,68.80489778288114,Open,Open,Open,Closed,Closed
231,7.700501955671447,65.83797171270544,Open,Open,Closed,Closed,Closed
232,7.733837461973055,68.79554431596488,Open,Open,Open,Closed,Closed
233,7.767172968274663,66.15826018518639,Open,Open,Open,Closed,Closed
234,7.8005084745762705,65.81081816112902,Open,Open,Closed,Closed,Closed
235,7.833843980877879,63.85286253829453,Open,Open,Closed,Closed,Closed
