frame,timestamp,aspect_ratio__mouth_width__nose_to_chin,thresh_1,thresh_2,thresh_3,thresh_4,thresh_5
114,3.800247718383312,0.6840445497044605,Open,Open,Open,Closed,Closed
115,3.833583224684919,0.7256884228941018,Open,Open,Open,Open,Closed
116,3.8669187309865274,0.6601734394371176,Open,Open,Open,Closed,Closed
117,3.9002542372881353,0.68998236634839,Open,Open,Open,Closed,Closed
118,3.933589743589744,0.7188855598555924,Open,Open,Open,Open,Closed
119,3.966925249891351,0.6976653987574991,Open,Open,Open,Closed,Closed
120,4.00026075619296,0.758891121022452,Open,Open,Open,Open,Closed
121,4.033596262494568,0.6860587539424763,Open,Open,Open,Closed,Closed
122,4.0669317687961755,0.6251595857908636,Open,Open,Closed,Closed,Closed
123,4.100267275097783,0.6575729199923396,Open,Open,Open,Closed,Closed
124,4.133602781399391,0.6178305575248423,Open,Open,Closed,Closed,Closed
125,4.166938287700999,0.5942562374437819,Open,Open,Closed,Closed,Closed
126,4.200273794002608,0.5403316409589028,Open,Closed,Closed,Closed,Closed
127,4.233609300304216,0.5490362797127899,Open,Closed,Closed,Closed,Closed
128,4.2669448066058235,0.5319251532046919,Open,Closed,Closed,Closed,Closed
129,4.300280312907431,0.4974577702007664,Closed,Closed,Closed,Closed,Closed
130,4.333615819209039,0.497843314700662,Closed,Closed,Closed,Closed,Closed
131,4.366951325510647,0.529927594717443,Open,Closed,Closed,Closed,Closed
132,4.400286831812255,0.5972398201285052,Open,Open,Closed,Closed,Closed
133,4.433622338113864,0.6335146540036902,Open,Open,Closed,Closed,Closed
134,4.466957844415472,0.6606570996296427,Open,Open,Open,Closed,Closed
135,4.5002933507170795,0.7293894779143245,Open,Open,Open,Open,Closed
136,4.533628857018687,0.7392451079932802,Open,Open,Open,Open,Closed
137,4.566964363320295,0.7195497004557034,Open,Open,Open,Open,Closed
138,4.600299869621903,0.7179006591116522,Open,Open,Open,Open,Closed
139,4.633635375923511,0.6802889142487085,Open,Open,Open,Closed,Closed
140,4.66697088222512,0.7301401615648918,Open,Open,Open,Open,Closed
141,4.700306388526728,0.6681185431560904,Open,Open,Open,Closed,Closed
142,4.733641894828335,0.6621207779679562,Open,Open,Open,Closed,Closed
143,4.766977401129943,0.6491277242837808,Open,Open,Open,Closed,Closed
144,4.800312907431551,0.621753503108388,Open,Open,Closed,Closed,Closed
145,4.833648413733159,0.6180439124220659,Open,Open,Closed,Closed,Closed
146,4.866983920034767,0.5849236953062572,Open,Open,Closed,Closed,Closed
147,4.900319426336376,0.5878796180531491,Open,Open,Closed,Closed,Closed
148,4.9336549326379835,0.5562131786058944,Open,Closed,Closed,Closed,Closed
149,4.966990438939591,0.5440032269329266,Open,Closed,Closed,Closed,Closed
150,5.000325945241199,0.5992850894029325,Open,Open,Closed,Closed,Closed
151,5.033661451542807,0.6687629432951917,Open,Open,Open,Closed,Closed
152,5.066996957844415,0.6814622467139293,Open,Open,Open,Closed,Closed
153,5.100332464146024,0.7048352226395993,Open,Open,Open,Closed,Closed
154,5.133667970447632,0.7138874283981654,Open,Open,Open,Open,Closed
155,5.167003476749239,0.7405438355937012,Open,Open,Open,Open,Closed
156,5.200338983050847,0.7474731306977875,Open,Open,Open,Open,Closed
