frame,timestamp,anchor_to_bottom_lip_bottom_center,thresh_1,thresh_2,thresh_3,thresh_4,thresh_5
155,5.167003476749239,99.91622505713386,Open,Open,Open,Closed,Closed
156,5.200338983050847,96.78080639537691,Open,Open,Open,Closed,Closed
157,5.233674489352455,92.55092770687185,Open,Open,Closed,Closed,Closed
158,5.267009995654063,85.71293061203369,Open,Open,Closed,Closed,Closed
159,5.300345501955671,86.2648317309224,Open,Open,Closed,Closed,Closed
160,5.33368100825728,78.18727196713382,Open,Closed,Closed,Closed,Closed
161,5.3670165145588875,79.48085017548682,Open,Closed,Closed,Closed,Closed
162,5.400352020860495,79.2349054546979,Open,Closed,Closed,Closed,Closed
163,5.433687527162103,77.98712309234831,Open,Closed,Closed,Closed,Closed
164,5.467023033463711,72.99230856217235,Closed,Closed,Closed,Closed,Closed
165,5.500358539765319,76.79162647107663,Open,Closed,Closed,Closed,Closed
166,5.533694046066927,75.95026030475098,Open,Closed,Closed,Closed,Closed
167,5.567029552368536,75.40680518704806,Closed,Closed,Closed,Closed,Closed
168,5.6003650586701434,76.27875362139822,Open,Closed,Closed,Closed,Closed
169,5.633700564971751,84.1275490556551,Open,Closed,Closed,Closed,Closed
170,5.667036071273359,90.81876406819391,Open,Open,Closed,Closed,Closed
171,5.700371577574967,90.47103355743056,Open,Open,Closed,Closed,Closed
172,5.733707083876575,92.9126148418739,Open,Open,Closed,Closed,Closed
173,5.767042590178183,90.92620578931373,Open,Open,Closed,Closed,Closed
174,5.8003780964797915,93.93881530111348,Open,Open,Open,Closed,Closed
175,5.833713602781399,89.22194485335652,Open,Open,Closed,Closed,Closed
176,5.867049109083007,89.82428453941023,Open,Open,Closed,Closed,Closed
177,5.900384615384615,86.50578327715695,Open,Open,Closed,Closed,Closed
178,5.933720121686223,84.35519002836105,Open,Closed,Closed,Closed,Closed
179,5.967055627987831,86.68536976773927,Open,Open,Closed,Closed,Closed
180,6.000391134289439,90.06808268277513,Open,Open,Closed,Closed,Closed
181,6.0337266405910475,79.71212458829243,Open,Closed,Closed,Closed,Closed
182,6.067062146892655,86.57852883617574,Open,Open,Closed,Closed,Closed
183,6.100397653194263,84.65825945652882,Open,Closed,Closed,Closed,Closed
184,6.133733159495871,86.62519282098134,Open,Open,Closed,Closed,Closed
185,6.167068665797479,80.99641431932908,Open,Closed,Closed,Closed,Closed
186,6.200404172099087,81.1944767713199,Open,Closed,Closed,Closed,Closed
187,6.2337396784006955,88.10113872073299,Open,Open,Closed,Closed,Closed
188,6.267075184702303,90.3761063225438,Open,Open,Closed,Closed,Closed
189,6.300410691003911,91.98439860169114,Open,Open,Closed,Closed,Closed
190,6.333746197305519,98.7945522764266,Open,Open,Open,Closed,Closed
191,6.367081703607127,91.41665079403386,Open,Open,Closed,Closed,Closed
192,6.400417209908735,103.85869107334142,Open,Open,Open,Open,Closed
193,6.433752716210343,98.54866988611744,Open,Open,Open,Closed,Closed
194,6.4670882225119515,98.23379256250496,Open,Open,Open,Closed,Closed
195,6.500423728813559,93.52447703003088,Open,Open,Closed,Closed,Closed
196,6.533759235115167,89.35291473715836,Open,Open,Closed,Closed,Closed
