frame,timestamp,anchor_to_top_lip_top_center,thresh_1,thresh_2,thresh_3,thresh_4,thresh_5
178,5.933720121686223,85.91542089625842,Open,Closed,Closed,Closed,Closed
179,5.967055627987831,90.49911245633544,Open,Open,Closed,Closed,Closed
180,6.000391134289439,95.39858979815968,Open,Open,Open,Closed,Closed
181,6.0337266405910475,80.8466914804756,Open,Closed,Closed,Closed,Closed
182,6.067062146892655,83.4301284967698,Open,Closed,Closed,Closed,Closed
183,6.100397653194263,79.53564068501917,Closed,Closed,Closed,Closed,Closed
184,6.133733159495871,84.92905594757272,Open,Closed,Closed,Closed,Closed
185,6.167068665797479,80.80912664642284,Open,Closed,Closed,Closed,Closed
186,6.200404172099087,80.23869716749616,Closed,Closed,Closed,Closed,Closed
187,6.2337396784006955,86.7064933362546,Open,Closed,Closed,Closed,Closed
188,6.267075184702303,86.8172804058947,Open,Closed,Closed,Closed,Closed
189,6.300410691003911,88.32287363697368,Open,Open,Closed,Closed,Closed
190,6.333746197305519,91.94241713122832,Open,Open,Closed,Closed,Closed
191,6.367081703607127,85.81586264128532,Open,Closed,Closed,Closed,Closed
192,6.400417209908735,98.39095877536457,Open,Open,Open,Closed,Closed
193,6.433752716210343,93.84599459071708,Open,Open,Closed,Closed,Closed
194,6.4670882225119515,93.87585687320724,Open,Open,Closed,Closed,Closed
195,6.500423728813559,90.12936490687434,Open,Open,Closed,Closed,Closed
196,6.533759235115167,91.66283170081287,Open,Open,Closed,Closed,Closed
197,6.567094741416775,87.35195208281957,Open,Open,Closed,Closed,Closed
198,6.600430247718383,85.79538374726118,Open,Closed,Closed,Closed,Closed
199,6.633765754019991,84.35649782675446,Open,Closed,Closed,Closed,Closed
200,6.667101260321599,85.97820467020529,Open,Closed,Closed,Closed,Closed
201,6.700436766623207,84.61415055727598,Open,Closed,Closed,Closed,Closed
202,6.733772272924815,86.06286596387912,Open,Closed,Closed,Closed,Closed
203,6.767107779226423,86.85941951834863,Open,Closed,Closed,Closed,Closed
204,6.800443285528031,80.84568478380451,Open,Closed,Closed,Closed,Closed
205,6.833778791829639,83.91905531030895,Open,Closed,Closed,Closed,Closed
206,6.867114298131247,86.30515627982282,Open,Closed,Closed,Closed,Closed
207,6.900449804432855,89.60252569557328,Open,Open,Closed,Closed,Closed
208,6.933785310734463,90.05399239866102,Open,Open,Closed,Closed,Closed
209,6.967120817036071,95.42390927604391,Open,Open,Open,Closed,Closed
210,7.000456323337679,91.65417984846113,Open,Open,Closed,Closed,Closed
211,7.033791829639287,91.86698053992232,Open,Open,Closed,Closed,Closed
212,7.067127335940895,90.13592690110733,Open,Open,Closed,Closed,Closed
213,7.100462842242503,89.36643035596747,Open,Open,Closed,Closed,Closed
214,7.1337983485441105,81.15721938112938,Open,Closed,Closed,Closed,Closed
215,7.167133854845719,82.11492005978499,Open,Closed,Closed,Closed,Closed
216,7.200469361147327,88.63769733753207,Open,Open,Closed,Closed,Closed
217,7.233804867448935,86.43288254236828,Open,Closed,Closed,Closed,Closed
218,7.267140373750543,81.05718221382344,Open,Closed,Closed,Closed,Closed
219,7.300475880052151,81.68845203490542,Open,Closed,Closed,Closed,Closed
220,7.333811386353759,82.98966161691743,Open,Closed,Closed,Closed,Closed
221,7.367146892655367,82.73882809793253,Open,Closed,Closed,Closed,Closed
222,7.400482398956975,79.73325286470683,Closed,Closed,Closed,Closed,Closed
223,7.433817905258583,82.09643938257128,Open,Closed,Closed,Closed,Closed
224,7.467153411560191,83.07542371188242,Open,Closed,Closed,Closed,Closed
225,7.500488917861799,83.35193330169557,Open,Closed,Closed,Closed,Closed
226,7.533824424163407,87.66809978288728,Open,Open,Closed,Closed,Closed
227,7.567159930465015,97.17059201676317,Open,Open,Open,Closed,Closed
228,7.600495436766623,93.72271771072204,Open,Open,Closed,Closed,Closed
