frame,timestamp,anchor_to_chin,thresh_1,thresh_2,thresh_3,thresh_4,thresh_5
155,5.167003476749239,197.21059734802344,Open,Open,Open,Closed,Closed
156,5.200338983050847,191.87317744370813,Open,Open,Open,Closed,Closed
157,5.233674489352455,189.02224341080404,Open,Open,Open,Closed,Closed
158,5.267009995654063,193.5822041805028,Open,Open,Open,Closed,Closed
159,5.300345501955671,184.7232309013653,Open,Open,Closed,Closed,Closed
160,5.33368100825728,183.61431276106953,Open,Open,Closed,Closed,Closed
161,5.3670165145588875,186.21078494257216,Open,Open,Open,Closed,Closed
162,5.400352020860495,181.77221981069695,Open,Open,Closed,Closed,Closed
163,5.433687527162103,181.6218580347862,Open,Open,Closed,Closed,Closed
164,5.467023033463711,170.31285844908317,Open,Closed,Closed,Closed,Closed
165,5.500358539765319,176.4249065011042,Open,Open,Closed,Closed,Closed
166,5.533694046066927,175.11167810871254,Open,Open,Closed,Closed,Closed
167,5.567029552368536,169.09491880279353,Open,Closed,Closed,Closed,Closed
168,5.6003650586701434,167.54360488280113,Open,Closed,Closed,Closed,Closed
169,5.633700564971751,177.34982605551008,Open,Open,Closed,Closed,Closed
170,5.667036071273359,190.16476042992232,Open,Open,Open,Closed,Closed
171,5.700371577574967,187.40425976308163,Open,Open,Open,Closed,Closed
172,5.733707083876575,190.32200163186053,Open,Open,Open,Closed,Closed
173,5.767042590178183,191.30064804792795,Open,Open,Open,Closed,Closed
174,5.8003780964797915,189.4490250776753,Open,Open,Open,Closed,Closed
175,5.833713602781399,188.5390404558701,Open,Open,Open,Closed,Closed
176,5.867049109083007,190.2177707773135,Open,Open,Open,Closed,Closed
177,5.900384615384615,187.4311819009057,Open,Open,Open,Closed,Closed
178,5.933720121686223,182.85181328684172,Open,Open,Closed,Closed,Closed
179,5.967055627987831,180.33849969792908,Open,Open,Closed,Closed,Closed
180,6.000391134289439,194.92847821559064,Open,Open,Open,Closed,Closed
181,6.0337266405910475,174.00403642667345,Open,Open,Closed,Closed,Closed
182,6.067062146892655,185.98407740350228,Open,Open,Open,Closed,Closed
183,6.100397653194263,184.3059986802501,Open,Open,Closed,Closed,Closed
184,6.133733159495871,164.92798435815882,Open,Closed,Closed,Closed,Closed
185,6.167068665797479,177.37761958126129,Open,Open,Closed,Closed,Closed
186,6.200404172099087,171.16015862611027,Open,Closed,Closed,Closed,Closed
187,6.2337396784006955,191.11988966633328,Open,Open,Open,Closed,Closed
