frame,timestamp,anchor_to_top_lip_bottom_center,thresh_1,thresh_2,thresh_3,thresh_4,thresh_5
164,5.467023033463711,70.85993523959687,Closed,Closed,Closed,Closed,Closed
165,5.500358539765319,74.13663941693004,Open,Closed,Closed,Closed,Closed
166,5.533694046066927,74.82358256743288,Open,Closed,Closed,Closed,Closed
167,5.567029552368536,72.15338984098747,Closed,Closed,Closed,Closed,Closed
168,5.6003650586701434,72.23336554573677,Closed,Closed,Closed,Closed,Closed
169,5.633700564971751,78.67730951991516,Open,Closed,Closed,Closed,Closed
170,5.667036071273359,85.71837910729639,Open,Open,Closed,Closed,Closed
171,5.700371577574967,84.18338313900291,Open,Open,Closed,Closed,Closed
172,5.733707083876575,88.28659776378612,Open,Open,Open,Closed,Closed
173,5.767042590178183,86.33056573243198,Open,Open,Open,Closed,Closed
174,5.8003780964797915,89.01012902156666,Open,Open,Open,Closed,Closed
175,5.833713602781399,85.83859944289071,Open,Open,Closed,Closed,Closed
176,5.867049109083007,86.98573983604693,Open,Open,Open,Closed,Closed
177,5.900384615384615,83.34031466165229,Open,Open,Closed,Closed,Closed
178,5.933720121686223,81.71122302635916,Open,Open,Closed,Closed,Closed
179,5.967055627987831,85.1225594067174,Open,Open,Closed,Closed,Closed
180,6.000391134289439,90.00141491062317,Open,Open,Open,Closed,Closed
181,6.0337266405910475,75.70548711700002,Open,Closed,Closed,Closed,Closed
182,6.067062146892655,78.73422715326235,Open,Closed,Closed,Closed,Closed
183,6.100397653194263,75.6366115377063,Open,Closed,Closed,Closed,Closed
184,6.133733159495871,81.57762582345134,Open,Open,Closed,Closed,Closed
185,6.167068665797479,75.42027256812652,Open,Closed,Closed,Closed,Closed
186,6.200404172099087,76.33791324758083,Open,Closed,Closed,Closed,Closed
187,6.2337396784006955,83.12031358186495,Open,Open,Closed,Closed,Closed
188,6.267075184702303,84.12707642485714,Open,Open,Closed,Closed,Closed
189,6.300410691003911,85.68640038971122,Open,Open,Closed,Closed,Closed
190,6.333746197305519,90.00551929555508,Open,Open,Open,Closed,Closed
191,6.367081703607127,83.70507950604996,Open,Open,Closed,Closed,Closed
192,6.400417209908735,96.39533916585764,Open,Open,Open,Open,Closed
193,6.433752716210343,91.75326192968356,Open,Open,Open,Closed,Closed
194,6.4670882225119515,91.29256190513598,Open,Open,Open,Closed,Closed
195,6.500423728813559,86.96648221574172,Open,Open,Open,Closed,Closed
196,6.533759235115167,85.18565809203596,Open,Open,Closed,Closed,Closed
197,6.567094741416775,81.94756877247141,Open,Open,Closed,Closed,Closed
198,6.600430247718383,78.94431461584085,Open,Closed,Closed,Closed,Closed
199,6.633765754019991,79.85763411264114,Open,Closed,Closed,Closed,Closed
200,6.667101260321599,78.48432504512651,Open,Closed,Closed,Closed,Closed
201,6.700436766623207,77.42240211360755,Open,Closed,Closed,Closed,Closed
202,6.733772272924815,79.05379039798513,Open,Closed,Closed,Closed,Closed
203,6.767107779226423,79.02599369119804,Open,Closed,Closed,Closed,Closed
204,6.800443285528031,75.25867141281222,Open,Closed,Closed,Closed,Closed
205,6.833778791829639,80.7099759892624,Open,Open,Closed,Closed,Closed
206,6.867114298131247,83.71467387228188,Open,Open,Closed,Closed,Closed
207,6.900449804432855,87.39323167442649,Open,Open,Open,Closed,Closed
208,6.933785310734463,87.75202671259376,Open,Open,Open,Closed,Closed
209,6.967120817036071,92.76910918999496,Open,Open,Open,Open,Closed
210,7.000456323337679,89.99720670294862,Open,Open,Open,Closed,Closed
211,7.033791829639287,88.32541684351963,Open,Open,Open,Closed,Closed
212,7.067127335940895,86.64589093518232,Open,Open,Open,Closed,Closed
213,7.100462842242503,84.87185680606137,Open,Open,Closed,Closed,Closed
214,7.1337983485441105,77.93835001258196,Open,Closed,Closed,Closed,Closed
215,7.167133854845719,77.8544141794616,Open,Closed,Closed,Closed,Closed
216,7.200469361147327,82.17054380030801,Open,Open,Closed,Closed,Closed
217,7.233804867448935,79.02434112617729,Open,Closed,Closed,Closed,Closed
218,7.267140373750543,73.8943748721473,Closed,Closed,Closed,Closed,Closed
