frame,timestamp,anchor_to_top_lip_top,thresh_1,thresh_2,thresh_3,thresh_4,thresh_5
126,4.200273794002608,70.6110489864613,Open,Closed,Closed,Closed,Closed
127,4.233609300304216,76.117013930228,Open,Open,Closed,Closed,Closed
128,4.2669448066058235,68.93227379264647,Open,Closed,Closed,Closed,Closed
129,4.300280312907431,64.8649232906493,Closed,Closed,Closed,Closed,Closed
130,4.333615819209039,70.12079099301525,Open,Closed,Closed,Closed,Closed
131,4.366951325510647,71.6093676928963,Open,Closed,Closed,Closed,Closed
132,4.400286831812255,74.47798821593275,Open,Open,Closed,Closed,Closed
133,4.433622338113864,72.3984590488628,Open,Closed,Closed,Closed,Closed
134,4.466957844415472,72.24262407091942,Open,Closed,Closed,Closed,Closed
135,4.5002933507170795,76.41518779531816,Open,Open,Closed,Closed,Closed
136,4.533628857018687,75.89414330599728,Open,Open,Closed,Closed,Closed
137,4.566964363320295,76.4552025184515,Open,Open,Closed,Closed,Closed
138,4.600299869621903,74.63985483272737,Open,Open,Closed,Closed,Closed
139,4.633635375923511,66.42480411128199,Open,Closed,Closed,Closed,Closed
140,4.66697088222512,74.69237269713923,Open,Open,Closed,Closed,Closed
141,4.700306388526728,73.06231978085628,Open,Closed,Closed,Closed,Closed
142,4.733641894828335,72.18123158044463,Open,Closed,Closed,Closed,Closed
143,4.766977401129943,73.43917665542801,Open,Open,Closed,Closed,Closed
144,4.800312907431551,74.13838751790614,Open,Open,Closed,Closed,Closed
145,4.833648413733159,72.1641314108636,Open,Closed,Closed,Closed,Closed
146,4.866983920034767,71.53581429442863,Open,Closed,Closed,Closed,Closed
147,4.900319426336376,69.13693269151193,Open,Closed,Closed,Closed,Closed
148,4.9336549326379835,67.55988489699001,Open,Closed,Closed,Closed,Closed
149,4.966990438939591,63.373748496754054,Closed,Closed,Closed,Closed,Closed
150,5.000325945241199,67.1218946125714,Open,Closed,Closed,Closed,Closed
151,5.033661451542807,67.06669297777425,Open,Closed,Closed,Closed,Closed
152,5.066996957844415,73.92728981672117,Open,Open,Closed,Closed,Closed
153,5.100332464146024,66.621127925276,Open,Closed,Closed,Closed,Closed
154,5.133667970447632,73.8673309069087,Open,Open,Closed,Closed,Closed
155,5.167003476749239,73.31346648925106,Open,Open,Closed,Closed,Closed
156,5.200338983050847,67.73779142154113,Open,Closed,Closed,Closed,Closed
