frame,timestamp,aspect_ratio_between_lips_to_mouth_width,thresh_1,thresh_2,thresh_3,thresh_4,thresh_5
139,4.633635375923511,0.1033619082565846,Closed,Closed,Closed,Closed,Closed
140,4.66697088222512,0.1265281444553763,Open,Closed,Closed,Closed,Closed
141,4.700306388526728,0.0882785559933773,Closed,Closed,Closed,Closed,Closed
142,4.733641894828335,0.059750761640344,Closed,Closed,Closed,Closed,Closed
143,4.766977401129943,0.0612563891831688,Closed,Closed,Closed,Closed,Closed
144,4.800312907431551,0.0448850395356354,Closed,Closed,Closed,Closed,Closed
145,4.833648413733159,0.0818070071953842,Closed,Closed,Closed,Closed,Closed
146,4.866983920034767,0.153363294227482,Open,Closed,Closed,Closed,Closed
147,4.900319426336376,0.1573204054289727,Open,Closed,Closed,Closed,Closed
148,4.9336549326379835,0.1760740291662772,Open,Closed,Closed,Closed,Closed
149,4.966990438939591,0.1707938812141846,Open,Closed,Closed,Closed,Closed
150,5.000325945241199,0.1576455454112504,Open,Closed,Closed,Closed,Closed
151,5.033661451542807,0.1159557217794961,Open,Closed,Closed,Closed,Closed
152,5.066996957844415,0.0729393426919689,Closed,Closed,Closed,Closed,Closed
153,5.100332464146024,0.1297037691660549,Open,Closed,Closed,Closed,Closed
154,5.133667970447632,0.1036213256541895,Closed,Closed,Closed,Closed,Closed
155,5.167003476749239,0.0771057923275789,Closed,Closed,Closed,Closed,Closed
156,5.200338983050847,0.0701433443353126,Closed,Closed,Closed,Closed,Closed
157,5.233674489352455,0.1016291272832759,Closed,Closed,Closed,Closed,Closed
158,5.267009995654063,0.0826820621511392,Closed,Closed,Closed,Closed,Closed
159,5.300345501955671,0.0982745536454324,Closed,Closed,Closed,Closed,Closed
160,5.33368100825728,0.1217647006967389,Open,Closed,Closed,Closed,Closed
161,5.3670165145588875,0.1227940552044931,Open,Closed,Closed,Closed,Closed
162,5.400352020860495,0.0669263350982408,Closed,Closed,Closed,Closed,Closed
163,5.433687527162103,0.0741872803016976,Closed,Closed,Closed,Closed,Closed
164,5.467023033463711,0.0504870244826262,Closed,Closed,Closed,Closed,Closed
165,5.500358539765319,0.2539567891450617,Open,Open,Closed,Closed,Closed
166,5.533694046066927,0.1905523699879487,Open,Closed,Closed,Closed,Closed
167,5.567029552368536,0.212393904432862,Open,Open,Closed,Closed,Closed
168,5.6003650586701434,0.1813529401164726,Open,Closed,Closed,Closed,Closed
169,5.633700564971751,0.183331879247418,Open,Closed,Closed,Closed,Closed
