frame,timestamp,anchor_to_nose,thresh_1,thresh_2,thresh_3,thresh_4,thresh_5
112,3.733576705780095,115.02856091300212,Open,Closed,Closed,Closed,Closed
113,3.7669122120817033,110.31960412249848,Open,Closed,Closed,Closed,Closed
114,3.800247718383312,111.66451338385755,Open,Closed,Closed,Closed,Closed
115,3.833583224684919,111.60930013778416,Open,Closed,Closed,Closed,Closed
116,3.8669187309865274,112.57808864689892,Open,Closed,Closed,Closed,Closed
117,3.9002542372881353,108.16000832573314,Closed,Closed,Closed,Closed,Closed
118,3.933589743589744,110.12811813689564,Open,Closed,Closed,Closed,Closed
119,3.966925249891351,110.04861951129084,Open,Closed,Closed,Closed,Closed
120,4.00026075619296,110.908283943107,Open,Closed,Closed,Closed,Closed
121,4.033596262494568,111.0595257572871,Open,Closed,Closed,Closed,Closed
122,4.0669317687961755,110.71631121784355,Open,Closed,Closed,Closed,Closed
123,4.100267275097783,122.97514481605774,Open,Open,Closed,Closed,Closed
124,4.133602781399391,120.02480191591546,Open,Open,Closed,Closed,Closed
125,4.166938287700999,119.57005261347336,Open,Open,Closed,Closed,Closed
126,4.200273794002608,125.94051613460576,Open,Open,Closed,Closed,Closed
127,4.233609300304216,133.75662394810223,Open,Open,Open,Closed,Closed
128,4.2669448066058235,133.89423599902307,Open,Open,Open,Closed,Closed
129,4.300280312907431,136.38720022873235,Open,Open,Open,Closed,Closed
130,4.333615819209039,136.58449512862177,Open,Open,Open,Closed,Closed
131,4.366951325510647,135.04986994443598,Open,Open,Open,Closed,Closed
132,4.400286831812255,134.69911570243318,Open,Open,Open,Closed,Closed
133,4.433622338113864,124.39879527826622,Open,Open,Closed,Closed,Closed
134,4.466957844415472,128.1607766926695,Open,Open,Open,Closed,Closed
135,4.5002933507170795,127.8410737845294,Open,Open,Closed,Closed,Closed
136,4.533628857018687,126.8750349442479,Open,Open,Closed,Closed,Closed
137,4.566964363320295,126.96563947664576,Open,Open,Closed,Closed,Closed
138,4.600299869621903,125.12177048544166,Open,Open,Closed,Closed,Closed
139,4.633635375923511,110.91627752632432,Open,Closed,Closed,Closed,Closed
140,4.66697088222512,118.91987900043895,Open,Open,Closed,Closed,Closed
141,4.700306388526728,121.590219951894,Open,Open,Closed,Closed,Closed
142,4.733641894828335,120.35424648910366,Open,Open,Closed,Closed,Closed
