frame,timestamp,aspect_ratio__mouth_width__inside_lips,thresh_1,thresh_2,thresh_3,thresh_4,thresh_5
108,3.6002346805736636,5.545001480623639,Closed,Closed,Closed,Closed,Closed
109,3.633570186875271,6.9234399411388505,Closed,Closed,Closed,Closed,Closed
110,3.6669056931768793,6.035098490754185,Closed,Closed,Closed,Closed,Closed
111,3.700241199478488,5.601002845626159,Closed,Closed,Closed,Closed,Closed
112,3.733576705780095,6.463170231739563,Closed,Closed,Closed,Closed,Closed
113,3.7669122120817033,9.798356091772094,Closed,Closed,Closed,Closed,Closed
114,3.800247718383312,14.086545681279327,Closed,Closed,Closed,Closed,Closed
115,3.833583224684919,10.10764213504818,Closed,Closed,Closed,Closed,Closed
116,3.8669187309865274,22.90752533516294,Open,Closed,Closed,Closed,Closed
117,3.9002542372881353,23.208917384355654,Open,Closed,Closed,Closed,Closed
118,3.933589743589744,10.86833117677656,Closed,Closed,Closed,Closed,Closed
119,3.966925249891351,8.415273714096786,Closed,Closed,Closed,Closed,Closed
120,4.00026075619296,12.769331915313806,Closed,Closed,Closed,Closed,Closed
121,4.033596262494568,11.763715399481576,Closed,Closed,Closed,Closed,Closed
122,4.0669317687961755,9.688735486674164,Closed,Closed,Closed,Closed,Closed
123,4.100267275097783,14.04852700859101,Closed,Closed,Closed,Closed,Closed
124,4.133602781399391,22.690967365892536,Open,Closed,Closed,Closed,Closed
125,4.166938287700999,17.40299392434716,Open,Closed,Closed,Closed,Closed
126,4.200273794002608,6.239713757679737,Closed,Closed,Closed,Closed,Closed
127,4.233609300304216,4.799514874999663,Closed,Closed,Closed,Closed,Closed
128,4.2669448066058235,5.653322843390216,Closed,Closed,Closed,Closed,Closed
129,4.300280312907431,6.022627751085285,Closed,Closed,Closed,Closed,Closed
130,4.333615819209039,4.913593493079014,Closed,Closed,Closed,Closed,Closed
131,4.366951325510647,4.916299421312742,Closed,Closed,Closed,Closed,Closed
132,4.400286831812255,6.7091563965014,Closed,Closed,Closed,Closed,Closed
133,4.433622338113864,6.768603287314842,Closed,Closed,Closed,Closed,Closed
134,4.466957844415472,7.48837848097759,Closed,Closed,Closed,Closed,Closed
135,4.5002933507170795,13.52662349395473,Closed,Closed,Closed,Closed,Closed
136,4.533628857018687,13.449095604866242,Closed,Closed,Closed,Closed,Closed
137,4.566964363320295,12.368598231902522,Closed,Closed,Closed,Closed,Closed
138,4.600299869621903,10.185056927449384,Closed,Closed,Closed,Closed,Closed
139,4.633635375923511,9.674743983224548,Closed,Closed,Closed,Closed,Closed
140,4.66697088222512,7.903379950005336,Closed,Closed,Closed,Closed,Closed
141,4.700306388526728,11.327779308884706,Closed,Closed,Closed,Closed,Closed
142,4.733641894828335,16.736188335460376,Open,Closed,Closed,Closed,Closed
143,4.766977401129943,16.32482771731451,Open,Closed,Closed,Closed,Closed
144,4.800312907431551,22.27913822390803,Open,Closed,Closed,Closed,Closed
145,4.833648413733159,12.223891745747942,Closed,Closed,Closed,Closed,Closed
146,4.866983920034767,6.52046505024019,Closed,Closed,Closed,Closed,Closed
