frame,timestamp,aspect_ratio_nose_to_lips_lips_to_chin,aspect_ratio_between_lips_to_mouth_width,aspect_ratio_top_lip_heigh_to_mouth_width,aspect_ratio_bottom_lip_heigh_to_mouth_width,aspect_ratio__mouth_width__nose_to_chin,aspect_ratio__mouth_width__outside_lips,aspect_ratio__mouth_width__inside_lips,anchor_to_top_lip_top,anchor_to_bottom_lip_bottom,anchor_to_top_lip_bottom,anchor_to_bottom_lip_top,anchor_to_top_lip_top_center,anchor_to_top_lip_bottom_center,anchor_to_bottom_lip_top_center,anchor_to_bottom_lip_bottom_center,anchor_to_chin,anchor_to_nose
46,1.5334332898739678,0.4390661651587075,0.2751749192952392,0.0654436807583114,0.15901602458073175,0.7332371446740922,0.7332371446740922,3.634052124231153,68.2092147545295,85.22876641910048,63.347858354798895,69.29734404574734,88.11682125368405,86.05771581760595,92.78518889657741,106.39121090404872,186.7527770189665,108.00757540293387
47,1.566768796175576,0.4584611638493138,0.3236282932392293,0.11058788063695454,0.19017633796754058,0.633711975619128,0.633711975619128,3.0899646937259275,79.68430981597403,72.27215123138018,65.40410100212783,56.687077233008985,96.84297281129096,88.49557411955573,84.04725422472308,95.98297475314845,177.07097925234285,129.6055957232599
48,1.6001043024771835,0.35429616593448526,0.27728458491975244,0.10265187673726074,0.1884148707281363,0.6815358817532232,0.6815358817532232,3.606403148193056,71.02575575915485,81.68925959018895,62.64573301609458,64.5641496118007,89.38291758339648,84.53725573167665,87.93699946321276,102.66011063516166,189.6774779378169,109.85648553189291
49,1.6334398087787918,0.39890360689174126,0.40702538452264525,0.10921637140327507,0.1930111046751509,0.6200618000612513,0.6200618000612513,2.4568492237229593,80.17277606371556,86.20088688199343,66.0309495947522,65.17824244533139,96.52556523925827,88.80971261308389,91.52916181463877,108.76311610071369,196.19439723072213,123.83623709077004
50,1.6667753150803997,0.3127244138374245,0.3217153416220737,0.043205203868381475,0.10771348141382345,0.779749199049083,0.779749199049083,3.108337933025036,72.54010658258561,92.3594442228704,69.73464244637435,78.16119684114122,95.60282787959184,94.17414797427716,104.58785563213252,115.07452349230978,204.70250756208438,109.18954748368662
51,1.7001108213820078,0.41674197092924087,0.3869698560712916,0.11739660623905457,0.21234902608899775,0.6047277966422878,0.6047277966422878,2.5841806133234564,82.92198343427174,84.32505087555168,67.65030215681205,62.829404459220086,101.44582155353328,92.15167673824581,90.74075085756387,108.57180003526095,198.64401162416203,132.91067511675124
52,1.7334463276836158,0.48765072380194924,0.304555642240009,0.1373727906222589,0.23271661591312737,0.6213394489799376,0.6213394489799376,3.2834722504071596,83.49550691950895,78.54396550018869,67.23891890265895,59.986870886896575,100.61436390138704,89.95890228032523,85.70025413285467,101.28207300334032,182.57080861505904,135.76248517177132
53,1.7667818339852237,0.5173713158688732,0.24126049462263535,0.10843176747743222,0.15673946722873164,0.657444418928937,0.657444418928937,4.1448974129151885,77.13156531383117,69.91331910253743,65.67591063592283,60.4216483259993,93.78133382183987,86.86602548671993,84.25785332526152,92.37980290260552,172.8192060366771,130.81772077757512
54,1.8001173402868318,0.5206769034354265,0.16251199237440037,0.08715117405311539,0.15018206169824522,0.6975065177242439,0.6975065177242439,6.153392038269814,68.06773378209108,68.43432609612768,61.27564216065508,60.01666435249463,85.27366905968142,81.74879235325638,81.4117753566169,88.18394330950237,165.93520130895735,117.09535899365346
55,1.8334528465884397,0.5788134331443182,0.08862449436532274,0.07635904530733047,0.15823314470556843,0.7258700593909123,0.7258700593909123,11.28356226076572,71.96119891943962,70.72642361140302,66.79455934322391,65.42776687723597,88.40175512125748,85.94171444409915,85.54237890278968,91.33557454984985,169.84817979591458,123.08727770526028
56,1.8667883528900475,0.5870239378440465,0.12669229856475026,0.10365733518934112,0.16700348447171626,0.6859361169319677,0.6859361169319677,7.893139609341898,74.54994572502804,73.5464190475646,66.6184694892706,65.82171608853733,91.82220808332823,87.64273657278832,87.39993483935075,95.20105897316242,177.9799333044192,130.89889993046788
57,1.900123859191656,0.36906918222356067,0.09823279861858566,0.08578631070876103,0.1349462513172004,0.696940968913046,0.696940968913046,10.179899321434988,65.11835386002059,65.31244450934989,60.66176729108575,60.01467807670695,84.26917569555079,81.90345405213708,82.0891335749226,87.28453648310487,183.1350346867034,107.6004182308557
58,1.9334593654932637,0.5339310159662617,0.08443162381092598,0.07173961951607369,0.11343029807232964,0.7024410296690643,0.7024410296690643,11.843903443564871,71.60708591896649,66.75668326475068,66.54874943434872,64.71860869187557,87.9831085087335,85.54492114708478,84.83788646491118,87.60937880312136,171.85709464788448,124.8057671389048
59,1.966794871794872,0.44451054532734013,0.08592003877812802,0.08527320369072865,0.12166107591414857,0.6169244541310414,0.6169244541310414,11.638728452885218,70.06626510329522,64.4939636798414,63.32915858919969,61.24746864530297,86.5041909014993,83.2547916639025,82.31322265906061,85.09356676692786,191.63486907483818,124.90863977419599
60,2.00013037809648,0.3900611122124796,0.15802283883977639,0.10729847159780691,0.15135000630155074,0.6054561891468945,0.6054561891468945,6.328199185270472,71.07581522181219,64.01273932736026,61.75833949411029,57.897920764058625,86.76675010145806,81.37244610249739,79.67714852027353,85.25919295204305,189.15932910937465,120.14553334525347
61,2.0334658843980877,0.4032219339978269,0.11611253435295898,0.07084841014877452,0.14169682029754904,0.5809846857011383,0.5809846857011383,8.612334624961326,64.00790695485324,59.63311320527427,58.04920573932148,55.59762194510536,81.93402264648802,79.09759618321792,77.68178517718928,81.49825701763305,194.93331449141175,117.74140655051193
