frame,timestamp,behind_hand,p49_p51,p49_p59,p49_p62,p49_p68,p49_p52,p49_p63,p49_p67,p49_p58,p49_p9,p49_p34,p55_p53,p55_p57,p55_p64,p55_p66,p55_p52,p55_p63,p55_p67,p55_p58,p55_p9,p55_p34,p49_p55,p34_p52,p52_p63,p63_p67,p67_p58,p58_p9
20,0.6666907340553551,False,76.15773105863909,68.62215385719105,67.26812023536856,67.36467917239716,93.637599285757,88.81441324469807,89.20201791439474,91.67878707749138,165.6804152578089,126.58988901172162,67.60177512462228,62.24146527838174,59.682493245507096,58.077534382926416,85.38149682454625,81.30190649671138,80.00624975587844,84.43340571124678,167.45148551147582,118.1397477566293,169.07394831847986,59.0,20.0,6.082762530298219,28.0,119.01680553602503
21,0.7000252707581227,False,77.02596964660685,68.00735254367721,67.468511173732,67.36467917239716,93.98404119849285,88.95504482602435,88.2779700718135,90.47098982546837,163.11039206623224,127.31064370271639,66.73080248281148,60.92618484691127,57.87054518492115,57.07889277132134,83.48652585896721,79.30952023559341,79.00632886041473,83.48652585896721,169.80577139779436,116.77756633874505,167.10774967068403,59.0,20.0,6.0,28.0,120.14990636700472
22,0.7333598074608905,False,76.47875521999558,67.67569726275453,67.468511173732,67.1863081289633,92.02716990106781,87.82368700982668,87.09190547921202,89.02246907382428,160.262285020525,125.93649193144932,68.0,63.694583757176716,61.18823416311342,59.07622195096772,85.38149682454625,81.49846624323675,81.00617260431454,86.02325267042627,168.9644933114647,121.01652779682617,168.02678357928536,62.00806399170998,18.0,8.0,27.018512172212592,117.27318534089538
23,0.7666943441636582,False,76.94153624668537,68.00735254367721,68.4470598345904,67.26812023536856,93.30058949438637,88.81441324469807,88.14193099768123,90.47098982546837,163.783393541592,126.58988901172162,67.11929677819934,62.76941930590086,59.841457201508724,58.034472514187634,85.07055894961546,81.30190649671138,81.0,85.07055894961546,167.57386431063765,118.1397477566293,169.07394831847986,60.0,19.0,7.0,26.0,119.03780911962384
24,0.800028880866426,False,77.41446893184762,68.30812543175226,67.26812023536856,67.26812023536856,94.2443632266673,89.67719888578144,89.1403387922662,90.70832376358854,163.11039206623224,126.58988901172162,68.0,62.76941930590086,59.682493245507096,58.077534382926416,85.07055894961546,81.2219182240853,81.0,86.33075929238663,170.46993869888027,118.82760622010359,170.07351351694948,60.00833275470999,20.0,6.0,27.018512172212592,119.15116449284078
25,0.8333634175691937,False,75.17978451685,66.40783086353596,65.92419889539804,65.19202405202648,92.02716990106781,87.5728268357257,87.09190547921202,88.52683209061533,164.84234892769516,123.7457069962429,65.36818798161687,61.465437442517235,57.706152185014034,58.077534382926416,84.11896337925236,80.22468448052632,80.0,84.77027781009096,169.80577139779436,116.0,167.0478973228936,58.0,20.0,6.0,25.019992006393608,122.06555615733703
26,0.8666979542719615,False,75.13321502504735,66.21933252457322,67.26812023536856,66.27216610312357,92.97311439335567,88.68483523128404,87.14355971613737,88.64536084872124,162.24672569885655,127.98828071350908,65.29931086925804,61.35144660071187,57.706152185014034,58.034472514187634,82.86132994346639,79.22752047110903,80.0,82.96987405076617,168.0773631397161,115.43396380615195,167.0748335327616,61.032778078668514,19.0,6.082762530298219,22.0,123.10158406779338
27,0.9000324909747293,False,78.26237921249263,71.16881339463234,69.87131027825369,70.25667228100119,94.86832980505137,90.44888059008801,90.13878188659973,92.41753080449618,165.3420696616563,126.57408897558773,65.76473218982953,61.465437442517235,58.42088667591412,58.077534382926416,82.86132994346639,79.1012010022604,79.0,83.16850365372699,171.1724276862369,115.31261856362468,169.07394831847986,59.0,21.0,4.0,26.0,122.20065466273084
28,0.933367027677497,False,76.92203845452875,69.12307863514182,69.63476143421474,68.26419266350405,91.706052144883,88.11923740024082,87.20665112249179,88.64536084872124,162.49615380063616,127.34991166074674,64.88451279003334,59.135437767890075,57.48912940721924,57.07889277132134,80.95677859203639,77.64663547121665,77.02596964660685,79.81227975693966,168.94081803992782,117.6860229593982,164.04877323527901,64.0,15.0,8.0,23.0,125.25573839150046
29,0.9667015643802648,False,74.24284477308234,67.446274915669,66.2872536767062,66.27216610312357,88.86506625215557,84.8528137423857,85.14693182963201,87.0976463516667,165.60495161679194,125.99206324209474,66.24198064671678,60.40695324215582,59.033888572581766,58.137767414994535,82.21921916437786,78.5175139698144,77.02596964660685,80.0812087820857,169.19810873647495,118.44407963254221,162.02777539668932,64.00781202322104,17.0,7.0710678118654755,24.0,126.09916732476864
