timestamp,dtNs,ax,ay,az,gx,gy,gz,label
667456.621805375,20000000,-0.0006842911,-0.008138508,0.0020397902,-0.02969231,-0.017333193,-0.014120271,true
667456.641805375,0,-0.0007585585,-0.008674502,0.0036606789,-0.033159807,-0.017884446,0.0027651377,true
667456.661805375,20000000,-0.00068822503,-0.008973956,0.0037648082,-0.03335316,-0.020890571,0.009328643,true
667456.681805375,0,-0.0032989979,-0.009733647,0.005592048,-0.032883342,-0.020318575,0.013256658,true
667456.701805375,0,-0.0028920472,-0.0084144175,0.0030594468,-0.031632476,-0.022621537,0.0104233185,true
667456.721805375,20000000,-0.004307747,-0.008740276,0.0030726194,-0.03508246,-0.020881006,0.006830107,true
667456.741805375,0,-0.0016022623,-0.010025948,2.425909e-05,-0.03598551,-0.019533183,0.0015485799,true
667456.761805375,0,-0.0022607446,-0.012271374,0.00052028894,-0.044395544,-0.009374933,-0.0121835,true
667456.781805375,20000000,-0.0030177534,-0.011297822,0.0009550452,-0.05184572,-0.008691314,-0.019829769,true
667456.801805375,0,-0.0037005842,-0.009964049,0.004749596,-0.062842496,-0.0089441,-0.02607139,true
667456.821805375,20000000,-0.0016202033,-0.0108991265,0.005526185,-0.07340927,-0.0095988475,-0.024662111,true
667456.841805375,0,0.0015068352,-0.0116615,-0.00081181526,-0.09330194,0.003566333,-0.03363223,true
667456.861805375,20000000,0.006362736,-0.01431486,-0.002047658,-0.11200844,0.021428794,-0.045093626,true
667456.881805375,0,-0.0045207143,-0.011182368,0.007862747,-0.14000137,0.019069167,-0.04390079,true
667456.901805375,20000000,0.003608048,-0.013727099,0.0060691237,-0.12441935,-0.011163786,-0.038243186,true
667456.921805375,0,0.008398056,-0.010129005,-0.0012677908,-0.13500404,0.04909073,-0.003535159,true
667456.941805375,0,0.0029503405,-0.036727786,0.011510253,-0.13168162,0.02293869,-0.041965093,true
667456.961805375,20000000,-0.010953367,-0.016589016,0.010969281,-0.13180733,-0.0019948091,-0.07524505,true
667456.981805375,0,-0.0067222416,-0.02126801,0.008447409,-0.11599539,-0.02582932,-0.114200436,true
667457.001805375,0,-0.008905828,-0.01963073,0.011865497,-0.104083784,-0.0270009,-0.16089837,true
667457.021805375,20000000,-0.0024144948,-0.022181362,0.00699836,-0.08854374,-0.046984475,-0.19185162,true
667457.041805375,0,-0.006365001,-0.019829273,0.007847667,-0.08454853,-0.0598423,-0.18896843,true
667457.061805376,20000000,-0.005857885,-0.021567047,0.0098846555,-0.053588398,-0.07853729,-0.21373822,true
