Frames,T095258,T495558,T636709,T094955,T051358,L4955,L5258,L0958,L0952
2625,185.0,700.5,161.0,7981.0,5659.0,128.4562182223967,38.600518131237564,113.35784048754634,151.85519418182574
2626,120.5,688.0,64.5,7628.5,5771.0,128.4562182223967,40.26164427839479,108.06016842481785,148.2767682410161
2627,114.0,625.0,110.0,7743.0,5713.5,125.13193037750197,40.024992192379,113.77170122662314,153.7595525487766
2628,134.0,730.0,113.5,7364.0,4340.0,121.80722474467596,44.91102314577124,109.17875251164945,154.042202009709
2629,41.0,433.5,143.0,6642.5,6023.5,110.35397591387454,48.27007354458868,112.58774356030055,160.85397104206038
2630,20.5,793.5,9.0,7212.5,5427.5,117.08543888972702,49.8196748283246,109.65856099730654,159.47727110782904
2631,10.0,865.0,5.5,7173.0,4273.5,114.97825881443848,53.9351462406472,109.83624174196785,163.77118183612157
2632,96.0,1022.0,30.0,6713.0,3147.5,108.66922287382016,60.207972893961475,104.78549517943789,164.97575579460153
2633,110.5,1043.5,160.0,6933.0,3451.5,108.93117092916977,62.369864518050704,108.17116066678771,170.51979357247652
2634,60.0,1171.5,107.5,6391.5,2835.5,105.65036677645753,66.70832032063167,98.95453501482385,165.65627063289816
2635,80.0,1039.0,213.5,6018.0,3200.0,101.13851887386922,65.30696746902278,98.48857801796105,163.783393541592
2636,53.5,1020.0,218.0,5844.0,2730.0,98.95453501482385,62.369864518050704,97.51410154434076,159.8780785473731
2637,73.0,999.5,153.5,6125.5,2774.0,98.71676655968832,60.41522986797286,103.94229168149026,164.34719346554112
2638,71.5,740.0,153.5,5971.5,4012.5,99.20181449953424,53.600373133029585,105.53672346628922,159.1257364476281
2639,101.0,529.0,84.5,6545.0,5182.5,106.48004507887852,44.64302857109943,113.03096920755833,157.64834283937145
2640,70.5,785.0,132.0,7152.5,4779.0,116.41735265844177,48.83646178829912,109.4440496326776,158.26875876179733
2641,133.0,616.0,65.0,8144.0,5943.5,127.57742747053649,49.49747468305833,118.06777714516353,167.5291019494822
2642,77.0,729.5,21.0,8301.0,6314.0,134.4953530795767,49.49747468305833,112.61438629233834,162.09873534361705
2643,18.0,783.0,75.0,8586.0,6316.0,142.57980221616245,46.69047011971501,109.48972554536796,156.1793840428371
2644,125.0,868.0,40.5,9050.5,6575.0,147.6787053031005,43.174066289845804,110.81967334368028,153.95129099815955
2645,103.5,826.0,86.0,9044.0,7001.5,148.85227576359054,43.93176527297759,110.47624178980746,154.37940277122465
2646,179.5,986.0,93.5,9178.5,7001.5,147.87156589419075,43.41658669218482,110.81967334368028,154.14927829866735
2647,34.5,925.5,93.5,8941.5,7152.0,145.71547618561317,43.93176527297759,110.02272492535349,153.95129099815955
2648,138.0,710.5,44.0,8576.5,7193.5,141.41074923781431,42.95346318982906,111.30588483993108,154.20765220960988
2649,74.0,940.0,5.0,8332.5,6788.5,137.2953021774598,49.03060268852505,107.68936809174804,156.70673246545599
2650,44.0,788.5,11.5,8310.5,6600.0,134.97407158413796,44.721359549995796,111.46299834474219,156.1793840428371
2651,16.0,687.5,32.0,8404.5,7502.5,133.3641631023867,44.721359549995796,115.7410903698423,160.46183346827368
2652,195.0,769.0,92.0,8215.5,7092.0,132.83448347473634,46.09772228646444,112.14722466472365,158.15182578775372
2653,193.0,528.0,42.5,7524.0,6665.0,122.37646832622684,46.389654018972806,114.33722053644648,160.63934760823702
2654,119.0,806.0,30.0,7435.5,6572.0,119.05040949110591,53.75872022286245,111.40017953306898,165.13025161974412
2655,0.0,735.0,16.0,7165.0,5259.0,111.80339887498948,57.55866572463264,115.11733144926528,172.6759971738979
2656,309.5,1011.0,151.5,6584.5,2548.5,103.75451797391764,68.59300255857006,107.48953437428223,175.93464695732902
2657,432.0,1225.5,58.0,7246.5,2280.5,108.50345616615168,68.59300255857006,111.32385189167684,179.64409258308496
2658,45.0,863.5,46.5,5823.0,2647.5,104.92378186092989,60.8276253029822,94.54099639838793,155.36408851468863
2659,116.0,843.0,91.5,6889.5,4168.5,107.70793842609746,54.12947441089743,112.29425630903836,166.39711535961192
2660,155.5,767.0,129.5,7141.0,4606.0,110.81967334368028,53.9351462406472,115.20850663036997,169.09760495051373
2661,82.5,622.0,1.5,7387.0,3681.0,120.81390648431164,48.25971404805462,112.00892821556681,160.25292509030842
2662,113.0,711.5,24.5,7833.0,5810.5,135.63554106501732,50.635955604688654,105.11898020814318,155.72411502397438
2663,27.0,727.0,33.0,8179.0,6522.0,136.13228860193308,45.5411901469428,109.48972554536796,155.0290295396317
2664,27.0,933.5,76.0,8343.5,6256.0,139.44532978913278,45.89117562233506,106.30145812734649,152.190669884852
