timestamp,dtNs,ax,ay,az,gx,gy,gz,label,chewing_soft
127957.530428542,0,-0.01758045,-0.050803274,-0.0737319,-0.062299192,-0.47052494,-0.45811063,False,0.0
127957.550428542,20000000,-0.04001209,-0.008572578,-0.07917678,-0.120505966,-0.4423914,-0.47370827,False,0.0
127957.570428542,0,-0.0556978,0.016459197,-0.076649606,-0.14735478,-0.37342215,-0.49057356,False,0.0
127957.590428542,0,-0.083605945,0.02627562,-0.061852634,-0.134876,-0.3802578,-0.47826195,False,0.0
127957.610428542,20000000,-0.11144756,0.036166355,-0.04712385,-0.12239722,-0.38709342,-0.4659503,False,0.0
127957.630428542,40000000,-0.1392239,0.04613225,-0.03246349,-0.109918445,-0.39392906,-0.4536387,False,0.0
127957.650428542,0,-0.12815791,0.055692494,-0.052257717,-0.14303312,-0.36130774,-0.42805907,False,0.0
127957.670428542,20000000,-0.11703408,0.06532037,-0.07213068,-0.17614779,-0.32868642,-0.40247944,False,0.0
127957.690428542,40000000,-0.09937535,0.05740443,-0.08037835,-0.20190799,-0.24214925,-0.41849247,False,0.0
127957.710428542,0,-0.09814988,0.047658116,-0.068860054,-0.21549188,-0.16895738,-0.45216578,False,0.0
127957.730428542,0,-0.10632108,0.05470434,-0.051354587,-0.22028266,-0.14470118,-0.4588096,False,0.0
127957.750428542,20000000,-0.114424005,0.061794177,-0.03389281,-0.22507346,-0.12044498,-0.46545345,False,0.0
127957.770428542,40000000,-0.12245925,0.068928435,-0.016474545,-0.22986424,-0.09618879,-0.47209728,False,0.0
127957.790428542,60000000,-0.13175222,0.07800168,0.0036999583,-0.22839679,-0.094448045,-0.4390397,False,0.0
127957.810428542,0,-0.13523266,0.07977915,0.017390132,-0.22984171,-0.113415495,-0.4037128,False,0.0
127957.830428542,20000000,-0.13313901,0.077126265,0.023849428,-0.23500176,-0.13409361,-0.3694143,False,0.0
127957.850428542,0,-0.13066062,0.06775619,0.028900266,-0.2212277,-0.15868697,-0.35165352,False,0.0
127957.870428542,0,-0.12838191,0.06123279,0.01960665,-0.19344878,-0.16840968,-0.33444,False,0.0
