frame,timestamp,feat_nose_to_lips_lips_to_chin,feat_between_lips_to_mouth_width,feat_top_lip_height_to_mouth_width,feat_bottom_lip_height_to_mouth_width,feat_mouth_width_nose_to_chin,feat_mouth_width_outside_lips,feat_mouth_width_inside_lips,status,mouth,action,bite_count,chew_count,chews_per_bite,behind_hand,mouth_open_ratio,p49_p51,p49_p59,p49_p62,p49_p68,p49_p52,p49_p63,p49_p67,p49_p58,p49_p9,p49_p34,p55_p53,p55_p57,p55_p64,p55_p66,p55_p52,p55_p63,p55_p67,p55_p58,p55_p9,p55_p34,p49_p55,p34_p52,p52_p63,p63_p67,p67_p58,p58_p9,label
26,0.8667297428432799,0.523292879301075,0.1438901513899489,0.1110731584654162,0.2026505264220275,0.6560679604820034,0.6560679604820034,6.949745971772274,,Open,Bite,1,0,0.0,False,0.1438901513899489,58.008620049092706,61.220911460055866,49.47726750741192,48.662100242385755,75.76938695805846,71.02112361825881,71.7007670809734,82.85529554590944,167.29614460590537,108.23123393919153,67.60177512462228,69.20260110718382,60.01666435249463,58.69412236331676,86.68333173107735,83.38465086573187,83.18653737234169,92.660671268883,169.49631264425784,118.1397477566293,153.05227865013967,56.08029957123981,17.0,22.02271554554524,31.016124838541646,107.16809226630843,chew
27,0.9000655021834061,0.5226561590661163,0.1557916122971991,0.1040637308133361,0.2013355039919836,0.6571444593096852,0.6571444593096852,6.418830803883904,,Open,Bite,1,0,0.0,False,0.1557916122971991,59.20304046246274,61.07372593840988,50.0,47.67598976424087,74.32361670424818,70.40596565632774,69.72087205421343,81.12336284942828,167.29614460590537,107.80074211247342,70.71067811865476,72.42237223399962,63.34824385884742,62.64982043070834,89.8443097808648,85.58621384311844,86.14522621712709,95.29428104561154,169.941166289984,121.01652779682615,154.0519392932137,56.08029957123981,16.0312195418814,24.0,31.016124838541646,107.298648640139,chew
28,0.9334012615235322,0.5236752133726695,0.147423782238257,0.1089654042630595,0.224340538188652,0.6626166739851079,0.6626166739851079,6.783166086350049,,Open,Bite,1,0,0.0,False,0.147423782238257,62.80127387243033,64.53681120105021,52.88667128870941,50.48762224545735,78.39005038906404,73.348483283569,72.56031973468694,84.38009243891595,169.11830178901394,109.63576058932595,70.49113419430843,72.20110802473879,61.61168720299745,60.40695324215582,88.86506625215557,84.8528137423857,84.71717653463199,95.77055915050305,169.04733065032408,121.6552506059644,156.01281998605114,55.14526271584895,17.0,23.0,35.0,105.30432089900204,chew
29,0.9667370208636584,0.5169156941536843,0.1308375449951689,0.1112651606112553,0.2355764518675265,0.6523497933681386,0.6523497933681386,7.643066063620529,,Open,Bite,1,0,0.0,False,0.1308375449951689,59.033888572581766,63.25345840347388,50.0,48.507731342539614,74.73285756613352,70.40596565632774,70.25667228100119,83.35466393669883,169.19810873647495,108.4066418629412,71.19691004531025,70.60453243241541,62.369864518050704,60.40695324215582,89.1852005660132,84.5931439302264,83.60023923410746,93.15041599477696,167.7647161950331,119.553335377981,153.05227865013967,55.036351623268054,17.029386365926403,20.024984394500787,36.05551275463989,106.47065323364932,chew
30,1.0000727802037843,0.5241629658478517,0.1709601616931858,0.0995037190209989,0.225105122420417,0.6232370858110416,0.6232370858110416,5.84931594645221,,Open,Bite,1,0,0.0,False,0.1709601616931858,58.05170109479997,62.369864518050704,49.04079934095691,45.70557952810576,72.00694410957877,68.41052550594829,66.48308055437865,81.6333265278342,172.70784579746226,111.25196627475847,74.30343195303969,72.80109889280519,65.0,63.63961030678928,92.34717104492157,86.97700845625813,86.97700845625813,94.51454914456292,171.89822570346675,123.0447073221762,152.08221460775746,58.0,15.132745950421556,26.0,34.23448553724738,110.65260954898444,chew
31,1.0334085395439108,0.4952206558622821,0.2163020156782847,0.1083091619687293,0.2166183239374587,0.6163101434025164,0.6163101434025164,4.623165423882793,,Open,Bite,1,0,0.0,False,0.2163020156782847,57.3149195236284,64.35060217278468,48.104053883222775,46.17358552246078,72.47068372797375,67.446274915669,67.468511173732,82.09750300709517,168.67127793433,107.41508273980894,72.94518489934754,72.47068372797375,62.6418390534633,60.207972893961475,89.88882021697692,84.52810183601665,83.54639429682169,93.2952303175248,173.07223925286226,120.20815280171308,148.0135128966271,53.009433122794285,16.0312195418814,32.01562118716424,32.0624390837628,107.0420478129973,chew
32,1.0667442988840368,0.5338693095159385,0.2305938826186936,0.1256661391951525,0.2305938826186936,0.6143217508438935,0.6143217508438935,4.336628485733006,,Open,Bite,1,0,0.0,False,0.2305938826186936,61.61980201201558,68.01470429252781,50.92150822589606,48.104053883222775,75.17978451685,70.09279563550022,68.41052550594829,86.21484790916237,172.66151858477326,110.67971810589329,76.00657866263946,80.05623023850174,64.5600495662759,65.0,92.11405973031478,85.15867542417507,88.52683209061533,100.9554357129917,177.1016657177453,125.15989773086264,152.029602380589,55.08175741568164,19.1049731745428,35.05709628591621,35.05709628591621,103.1746092796091,chew
33,1.100080058224163,0.4547514341434494,0.2517899554001987,0.1190604204300191,0.2381208408600383,0.6104864491847612,0.6104864491847612,3.9715643080780767,,Open,Bite,1,0,0.0,False,0.2517899554001987,54.037024344425184,68.41052550594829,45.221676218380054,46.95742752749558,66.18912297349165,61.39218191268331,63.324560795950255,83.48652585896721,171.618763542918,96.82974749528164,74.43117626371358,80.05623023850174,65.52098900352466,65.52098900352466,90.24965373894794,84.52810183601665,86.34813257969161,98.18350166906862,172.62966141425406,114.58621208504974,143.0314650697531,46.01086828130936,17.029386365926403,36.013886210738214,34.058772731852805,101.17806086301516,chew
34,1.1334158175642892,0.5,0.3357367661962234,0.1568546954707858,0.2537774730836014,0.5294503176542886,0.5294503176542886,2.978523952945755,,Open,Bite,1,0,0.0,False,0.3357367661962234,61.29437168288782,60.74537019394976,42.20189569201838,38.01315561749642,70.83784299369935,59.93329625508679,57.24508712544685,76.38062581571324,165.8493292117879,110.47624178980746,81.39410298049853,73.7563556583431,66.18912297349165,60.207972893961475,95.1892851112981,85.09406559801923,81.58431221748455,93.49331526906082,169.49631264425784,130.728726758888,134.03357788255897,51.03920062069938,21.02379604162864,45.0,34.0147027033899,102.07840124139877,chew
35,1.1667515769044152,0.5580907593123363,0.3525822644191002,0.1512464172432195,0.3096789392910512,0.5211353187971886,0.5211353187971886,2.8362175325170087,,Open,Bite,1,0,0.0,False,0.3525822644191002,67.4166151627327,69.33974329343886,47.80167361086848,41.23105625617661,74.96665925596525,63.13477647065839,58.82176467941097,84.17244204607586,173.32628190785147,118.9663818059539,86.31338250816034,80.61017305526642,69.77105417004964,62.5859409132754,100.16985574512924,89.88882021697692,84.72307831990054,100.80178569846863,172.8120366178236,138.68309197591464,139.00359707575916,55.036351623268054,21.02379604162864,49.01020301937138,43.04648650006177,98.6154146165801,chew
